Base Tag,FT View Address,Studio 5000 Address,Alarm Text
Hmi.Alarm[1],Hmi.Alarm[1].1,Hmi.Alarm[1].0,MAIN CLUTCH TRIPPED ALARM [1PROX]
Hmi.Alarm[1],Hmi.Alarm[1].2,Hmi.Alarm[1].1,HANDWHEEL SAFETY TRIPPED ALARM [2PROX]
Hmi.Alarm[1],Hmi.Alarm[1].3,Hmi.Alarm[1].2,MAIN TURRET AC DRIVE FAULT
Hmi.Alarm[1],Hmi.Alarm[1].4,Hmi.Alarm[1].3,LOW AIR PRESSURE ALARM [1PS]
Hmi.Alarm[1],Hmi.Alarm[1].5,Hmi.Alarm[1].4,NO MOTION DETECTED ALARM
Hmi.Alarm[1],Hmi.Alarm[1].6,Hmi.Alarm[1].5,TELESCOPE INFEED AIRVEYOR OVERLOAD ALARM
Hmi.Alarm[1],Hmi.Alarm[1].7,Hmi.Alarm[1].6,MAIN PLS ENCODER ALARM
Hmi.Alarm[1],Hmi.Alarm[1].8,Hmi.Alarm[1].7,TELESCOPE PLS ENCODER ALARM
Hmi.Alarm[1],Hmi.Alarm[1].9,Hmi.Alarm[1].8,SAFETY VALVE PRESSURE ALARM [2PS]
Hmi.Alarm[1],Hmi.Alarm[1].10,Hmi.Alarm[1].9,SAFETY VALVE DISCHARGE PRESSURE ALARM [3PS]
Hmi.Alarm[2],Hmi.Alarm[2].1,Hmi.Alarm[2].0,BARREL INFEED JAM ALARM [2 PEC]
Hmi.Alarm[2],Hmi.Alarm[2].2,Hmi.Alarm[2].1,BARREL INFEED CONVEYOR CHAIN SAFETY ALARM [3PROX]
Hmi.Alarm[2],Hmi.Alarm[2].3,Hmi.Alarm[2].2,BARREL MISSING CONSECUTIVE OVERLIMIT ALARM [3PEC]
Hmi.Alarm[2],Hmi.Alarm[2].4,Hmi.Alarm[2].3,BARREL INFEED CONVEYOR AC DRIVE FAULT
Hmi.Alarm[2],Hmi.Alarm[2].5,Hmi.Alarm[2].4,BARREL SECONDARY MISSING CONSECUTIVE OVERLIMIT ALARM [4PEC]
Hmi.Alarm[2],Hmi.Alarm[2].6,Hmi.Alarm[2].5,BARREL SECONDARY NOT IN PLACE ALARM
Hmi.Alarm[3],Hmi.Alarm[3].1,Hmi.Alarm[3].0,SPARE
Hmi.Alarm[3],Hmi.Alarm[3].2,Hmi.Alarm[3].1,TELESCOPE INFEED SAFETY GATE TRIPPED ALARM [5PROX]
Hmi.Alarm[3],Hmi.Alarm[3].3,Hmi.Alarm[3].2,TELESCOPE MISSING CONSECUTIVE OVERLIMIT ALARM [10PEC]
Hmi.Alarm[4],Hmi.Alarm[4].1,Hmi.Alarm[4].0,SPARE
Hmi.Alarm[4],Hmi.Alarm[4].2,Hmi.Alarm[4].1,PLUNGER INFEED SAFETY GATE TRIPPED ALARM [6PROX]
Hmi.Alarm[4],Hmi.Alarm[4].3,Hmi.Alarm[4].2,PLUNGER MISSING CONSECUTIVE OVERLIMIT ALARM [12PEC]
Hmi.Alarm[4],Hmi.Alarm[4].4,Hmi.Alarm[4].3,PLUNGER ORIENTING ROLLS AC DRIVE FAULT
Hmi.Alarm[5],Hmi.Alarm[5].1,Hmi.Alarm[5].0,PART STUCK IN HEAD TURRET 1 UPPER TOOLING ALARM [13PEC]
Hmi.Alarm[5],Hmi.Alarm[5].2,Hmi.Alarm[5].1,PART STUCK IN HEAD TURRET 1 LOWER TOOLING ALARM [14PEC]
Hmi.Alarm[5],Hmi.Alarm[5].3,Hmi.Alarm[5].2,CAM FOLLOWER SAFETY TURRET 1 LOWER TOOLING ALARM [15PROX]
Hmi.Alarm[5],Hmi.Alarm[5].4,Hmi.Alarm[5].3,CAM FOLLOWER SAFETY TURRET 1 CENTER SLIDES ALARM [16PROX]
Hmi.Alarm[5],Hmi.Alarm[5].5,Hmi.Alarm[5].4,CAM FOLLOWER SAFETY TURRET 1 UPPER TOOLING ALARM [17PROX]
Hmi.Alarm[6],Hmi.Alarm[6].1,Hmi.Alarm[6].0,HEATER BLOWER 1 AC DRIVE FAULT
Hmi.Alarm[6],Hmi.Alarm[6].2,Hmi.Alarm[6].1,HEATER BLOWER 2 AC DRIVE FAULT
Hmi.Alarm[6],Hmi.Alarm[6].3,Hmi.Alarm[6].2,HEATER BLOWER 3 AC DRIVE FAULT
Hmi.Alarm[6],Hmi.Alarm[6].4,Hmi.Alarm[6].3,HEATER BLOWER 4 AC DRIVE FAULT
Hmi.Alarm[6],Hmi.Alarm[6].5,Hmi.Alarm[6].4,ZONE 1 NOT AT TEMPERATURE ALARM
Hmi.Alarm[6],Hmi.Alarm[6].6,Hmi.Alarm[6].5,ZONE 2 NOT AT TEMPERATURE ALARM
Hmi.Alarm[6],Hmi.Alarm[6].7,Hmi.Alarm[6].6,ZONE 3 NOT AT TEMPERATURE ALARM
Hmi.Alarm[6],Hmi.Alarm[6].8,Hmi.Alarm[6].7,ZONE 4 NOT AT TEMPERATURE ALARM
